age,monthly_income,dependents,horizon_years,emergency_fund,drop_reaction,goal_type,experience,monthly_investable,risk_label
47,40013,2,1,yes,hold,tax_saving,some,12316,Conservative
47,29370,1,5,no,sell,retirement,none,7906,Conservative
39,40184,3,2,yes,sell,retirement,some,4264,Conservative
55,39595,3,1,no,buy_more,child_education,some,7098,Conservative
43,36230,3,2,yes,sell,wealth_creation,some,9526,Conservative
24,42527,0,3,yes,hold,child_education,some,3420,Aggressive
51,83308,2,10,no,sell,short_term,none,28091,Conservative
43,53618,4,1,no,hold,wealth_creation,none,18046,Conservative
46,149091,2,10,yes,sell,retirement,none,14185,Moderate
43,52930,2,7,yes,hold,tax_saving,some,5775,Aggressive
43,43022,0,15,no,sell,short_term,some,6850,Conservative
24,49112,3,3,yes,sell,wealth_creation,some,9095,Moderate
43,55018,0,10,yes,sell,child_education,some,10025,Moderate
52,59627,0,15,yes,sell,short_term,none,15292,Conservative
33,124806,4,20,no,hold,tax_saving,some,23845,Moderate
45,33510,4,10,no,sell,retirement,some,3527,Conservative
22,72154,4,2,yes,hold,wealth_creation,some,9257,Moderate
34,53824,1,20,no,hold,wealth_creation,none,9330,Moderate
38,24173,0,15,yes,sell,wealth_creation,some,4974,Aggressive
60,69342,1,3,no,sell,child_education,some,22668,Conservative
29,86719,0,2,yes,hold,wealth_creation,some,6838,Aggressive
32,33331,3,20,no,hold,retirement,none,9709,Conservative
37,48824,1,2,yes,hold,short_term,some,6994,Conservative
60,22552,1,10,yes,buy_more,tax_saving,experienced,6046,Aggressive
55,27820,0,5,yes,sell,retirement,experienced,3546,Moderate
22,78559,1,10,no,hold,tax_saving,experienced,13004,Aggressive
30,39739,3,2,yes,hold,short_term,none,7271,Conservative
53,29763,2,10,yes,sell,wealth_creation,some,8191,Conservative
23,54353,0,7,yes,hold,wealth_creation,none,5428,Aggressive
55,38751,0,15,no,hold,short_term,some,5966,Conservative
32,39661,1,3,no,hold,short_term,some,8271,Conservative
57,68370,0,2,yes,hold,retirement,some,16906,Conservative
32,29062,4,3,yes,sell,retirement,experienced,2116,Conservative
38,32616,2,1,no,hold,tax_saving,experienced,2557,Moderate
47,52540,0,20,yes,buy_more,retirement,none,13951,Aggressive
26,75828,2,2,yes,hold,child_education,experienced,12120,Aggressive
43,85577,1,3,yes,hold,retirement,experienced,8530,Aggressive
41,36341,0,10,yes,hold,short_term,some,4686,Aggressive
52,74743,1,3,no,hold,child_education,none,17150,Conservative
60,34445,0,3,no,sell,wealth_creation,none,11573,Conservative
47,111501,1,10,yes,hold,tax_saving,some,30057,Moderate
37,29430,3,5,no,hold,retirement,none,8508,Conservative
37,89126,4,15,yes,sell,tax_saving,none,20724,Moderate
37,36482,0,7,no,sell,child_education,none,5886,Conservative
53,121292,2,3,yes,sell,child_education,some,41077,Conservative
33,63965,0,7,no,hold,wealth_creation,some,4757,Aggressive
27,31032,1,15,no,sell,child_education,none,9079,Moderate
34,38754,0,5,no,buy_more,child_education,experienced,4940,Aggressive
21,69670,1,10,yes,buy_more,wealth_creation,none,16188,Aggressive
25,78722,0,5,no,buy_more,child_education,none,27136,Moderate
24,47485,4,7,no,sell,retirement,some,14373,Conservative
51,50015,3,10,yes,hold,child_education,some,15256,Moderate
49,68958,0,1,yes,buy_more,child_education,none,20475,Aggressive
48,52016,2,5,no,hold,tax_saving,some,9682,Conservative
39,27389,0,2,no,sell,wealth_creation,none,4599,Conservative
49,34001,2,10,no,buy_more,child_education,none,6989,Moderate
27,54491,0,7,yes,hold,retirement,some,7385,Aggressive
57,84708,0,5,no,hold,wealth_creation,none,16386,Conservative
41,101436,2,1,yes,buy_more,wealth_creation,experienced,8930,Aggressive
58,69618,1,20,yes,buy_more,wealth_creation,some,22121,Aggressive
27,55786,1,3,no,hold,retirement,none,15101,Conservative
40,68663,1,3,no,sell,wealth_creation,some,4710,Conservative
48,36314,0,2,no,hold,child_education,some,9005,Conservative
40,45754,0,7,yes,hold,child_education,some,12701,Aggressive
38,33831,2,3,yes,hold,child_education,experienced,10436,Moderate
27,27947,2,15,no,hold,tax_saving,some,4156,Aggressive
36,56959,0,10,yes,hold,short_term,none,13625,Moderate
30,53288,1,1,no,hold,tax_saving,some,7078,Conservative
33,66799,2,7,no,buy_more,short_term,experienced,20351,Moderate
48,62677,2,3,no,buy_more,child_education,none,19589,Conservative
46,54676,3,1,no,hold,retirement,none,3989,Conservative
45,62974,1,7,yes,hold,child_education,some,8534,Aggressive
35,48088,1,3,yes,hold,child_education,some,3887,Moderate
59,59030,1,15,no,hold,wealth_creation,none,10013,Conservative
24,35356,0,7,yes,sell,child_education,experienced,1822,Aggressive
34,57893,0,3,no,hold,child_education,none,16490,Conservative
25,66223,0,20,yes,hold,retirement,experienced,11882,Aggressive
34,36266,3,7,no,hold,retirement,experienced,7626,Moderate
59,50177,0,2,yes,buy_more,short_term,none,13687,Conservative
35,37026,2,7,no,buy_more,short_term,some,9763,Moderate
57,38679,1,20,yes,buy_more,retirement,none,5585,Aggressive
40,29548,1,5,no,buy_more,wealth_creation,some,8416,Aggressive
48,86647,3,5,no,hold,tax_saving,some,20988,Conservative
39,79186,2,5,yes,buy_more,wealth_creation,some,9142,Aggressive
31,62432,0,3,yes,buy_more,retirement,some,3669,Aggressive
51,119072,2,2,yes,hold,retirement,none,32964,Conservative
59,45018,1,7,no,sell,child_education,none,4488,Conservative
31,191816,0,15,no,sell,retirement,none,16071,Conservative
52,44250,2,10,no,hold,tax_saving,some,7793,Moderate
31,54986,2,2,yes,hold,tax_saving,experienced,17953,Conservative
49,40986,0,5,yes,hold,child_education,some,10879,Aggressive
52,57962,4,1,no,buy_more,child_education,none,16775,Conservative
38,71398,2,3,no,buy_more,child_education,experienced,9350,Moderate
50,46571,2,10,yes,sell,tax_saving,none,13995,Conservative
31,109045,0,3,yes,sell,retirement,experienced,19040,Moderate
24,54590,0,15,yes,hold,wealth_creation,none,18769,Aggressive
24,55365,1,5,no,hold,wealth_creation,none,12231,Moderate
38,32563,2,10,no,buy_more,retirement,experienced,7550,Aggressive
57,59179,1,15,no,buy_more,retirement,some,19205,Moderate
26,46151,2,10,no,hold,wealth_creation,experienced,15438,Aggressive
39,37282,0,15,no,hold,wealth_creation,some,2061,Aggressive
49,34564,2,10,yes,buy_more,tax_saving,none,4138,Aggressive
29,163128,3,7,yes,buy_more,child_education,none,38216,Aggressive
49,43539,2,3,yes,hold,wealth_creation,some,2224,Moderate
33,25447,2,3,no,buy_more,retirement,some,3696,Moderate
53,35803,3,15,no,hold,tax_saving,some,3898,Moderate
44,47896,0,1,yes,sell,wealth_creation,none,9916,Conservative
42,62692,2,20,no,hold,child_education,none,14368,Moderate
28,62922,4,5,yes,buy_more,wealth_creation,some,6714,Aggressive
39,66468,1,10,yes,buy_more,wealth_creation,none,14019,Aggressive
55,36673,0,5,no,sell,short_term,some,6198,Conservative
21,57136,4,20,no,hold,wealth_creation,none,19842,Moderate
51,33049,0,1,yes,hold,tax_saving,experienced,2297,Moderate
40,37092,0,5,yes,buy_more,retirement,some,11209,Aggressive
49,32436,0,15,no,hold,wealth_creation,none,11347,Moderate
47,28716,1,3,no,sell,retirement,some,6101,Conservative
38,79133,1,3,no,buy_more,short_term,some,20113,Moderate
33,66827,1,15,yes,hold,retirement,some,5906,Aggressive
46,76076,4,15,yes,buy_more,retirement,none,11810,Aggressive
26,49895,1,2,yes,buy_more,tax_saving,none,5211,Aggressive
44,69533,1,7,yes,sell,tax_saving,experienced,15644,Aggressive
24,22190,3,3,no,buy_more,wealth_creation,none,7380,Conservative
46,72286,3,3,no,hold,child_education,some,4256,Conservative
46,53087,0,7,no,buy_more,tax_saving,none,10528,Moderate
24,65003,0,2,yes,sell,child_education,some,17360,Moderate
51,58163,2,5,yes,buy_more,wealth_creation,some,10421,Aggressive
37,31439,3,3,no,hold,tax_saving,none,6654,Conservative
52,24981,1,15,yes,sell,wealth_creation,none,4643,Moderate
22,35581,0,7,yes,buy_more,wealth_creation,some,8156,Aggressive
28,63209,2,3,yes,hold,retirement,some,4460,Moderate
40,66872,2,20,yes,sell,retirement,experienced,14313,Aggressive
28,26487,1,15,yes,buy_more,child_education,some,5391,Aggressive
34,31524,3,3,yes,hold,child_education,experienced,3296,Aggressive
47,35402,2,20,no,hold,retirement,experienced,7449,Moderate
26,41739,2,3,yes,buy_more,retirement,none,7886,Aggressive
48,26557,2,3,no,hold,retirement,experienced,6053,Conservative
25,25850,2,5,no,sell,tax_saving,experienced,5664,Moderate
28,33866,1,2,yes,hold,retirement,some,5803,Conservative
44,50960,1,10,yes,hold,short_term,some,14489,Aggressive
52,28817,2,7,yes,sell,retirement,none,4531,Conservative
27,46531,2,15,yes,hold,short_term,none,8950,Aggressive
32,78932,1,3,yes,hold,child_education,none,14043,Moderate
58,27287,0,2,no,sell,retirement,none,5341,Conservative
60,44671,2,5,yes,hold,child_education,some,12957,Conservative
44,77741,2,2,yes,buy_more,child_education,some,20437,Moderate
38,40610,0,20,no,hold,tax_saving,none,2545,Moderate
34,37867,1,10,no,sell,wealth_creation,none,7511,Moderate
45,82749,0,10,no,buy_more,tax_saving,none,7234,Moderate
44,42710,4,10,yes,hold,wealth_creation,experienced,11480,Aggressive
32,80581,3,3,no,buy_more,child_education,experienced,27881,Moderate
21,59458,1,2,no,buy_more,tax_saving,none,14010,Moderate
27,42012,1,5,no,hold,short_term,experienced,6888,Aggressive
59,60831,2,15,no,hold,tax_saving,experienced,4361,Moderate
37,56624,1,5,yes,sell,wealth_creation,experienced,8480,Aggressive
40,77605,4,1,no,sell,tax_saving,experienced,16109,Conservative
39,38301,0,10,no,sell,child_education,some,12036,Moderate
52,49938,0,3,no,hold,wealth_creation,none,10182,Conservative
23,47682,1,7,yes,hold,wealth_creation,experienced,16465,Aggressive
24,67296,0,1,no,buy_more,child_education,experienced,10817,Aggressive
32,30904,2,7,yes,sell,wealth_creation,none,1549,Moderate
40,77469,2,5,no,hold,child_education,some,18483,Moderate
47,60466,0,15,yes,sell,retirement,some,6998,Moderate
40,27102,1,10,no,sell,short_term,some,3337,Conservative
38,84433,2,1,no,buy_more,tax_saving,some,4662,Conservative
58,133966,3,10,yes,hold,retirement,none,28058,Conservative
27,76943,1,10,no,hold,retirement,some,9560,Aggressive
43,93166,0,10,no,hold,wealth_creation,none,32448,Moderate
42,50940,1,20,yes,hold,short_term,none,15317,Moderate
39,23209,1,10,yes,buy_more,wealth_creation,some,6181,Aggressive
53,21378,2,3,yes,hold,wealth_creation,none,3338,Conservative
31,54983,1,5,no,hold,tax_saving,some,3930,Moderate
59,37556,0,5,yes,sell,child_education,none,9414,Conservative
34,32481,2,7,yes,hold,retirement,some,1841,Moderate
42,47656,1,20,yes,hold,tax_saving,none,8696,Aggressive
41,64667,0,7,yes,sell,child_education,none,4257,Moderate
54,25495,1,3,yes,hold,tax_saving,some,5555,Moderate
38,40054,4,20,no,hold,child_education,some,8726,Moderate
32,96707,2,10,yes,sell,tax_saving,some,20229,Moderate
21,30215,0,3,no,buy_more,short_term,some,7988,Moderate
35,72503,2,15,no,sell,short_term,none,8587,Conservative
54,39413,0,5,no,buy_more,retirement,none,4834,Moderate
21,62668,1,7,yes,hold,tax_saving,none,10957,Aggressive
56,80321,1,5,no,sell,tax_saving,some,20950,Conservative
42,68430,0,20,no,sell,retirement,some,5818,Moderate
26,73800,0,3,yes,hold,wealth_creation,some,23303,Aggressive
33,29195,4,5,yes,buy_more,short_term,experienced,3668,Aggressive
43,80914,0,10,yes,hold,retirement,none,7150,Aggressive
33,33399,3,15,no,hold,wealth_creation,experienced,7671,Aggressive
25,55093,2,2,yes,sell,retirement,some,7309,Moderate
47,55061,1,3,no,buy_more,retirement,some,9505,Moderate
47,60980,0,20,no,buy_more,tax_saving,some,4167,Aggressive
25,57046,0,10,no,hold,retirement,some,10809,Aggressive
32,33533,0,5,no,buy_more,wealth_creation,none,4731,Moderate
30,26703,1,5,no,hold,retirement,none,2695,Moderate
47,72588,4,5,yes,hold,child_education,none,12041,Conservative
50,53296,3,10,yes,hold,child_education,none,14977,Moderate
50,82225,0,7,no,sell,retirement,none,22948,Conservative
58,48043,0,10,yes,sell,retirement,none,7597,Moderate
51,26047,0,1,no,hold,wealth_creation,experienced,8915,Conservative
33,75717,4,15,yes,buy_more,retirement,none,6645,Aggressive
25,41495,0,1,yes,hold,short_term,experienced,12715,Moderate
45,57176,0,15,no,sell,tax_saving,some,19650,Conservative
57,36630,2,1,no,sell,tax_saving,none,8127,Conservative
60,102737,1,2,no,hold,child_education,none,6990,Conservative
30,33042,0,3,yes,hold,child_education,none,10781,Moderate
30,42114,2,3,yes,sell,wealth_creation,none,7626,Conservative
22,51449,0,5,no,sell,tax_saving,none,5225,Moderate
26,29986,0,7,no,hold,wealth_creation,experienced,9518,Aggressive
43,56881,0,15,yes,sell,tax_saving,none,10128,Aggressive
42,101251,1,7,no,hold,retirement,some,20231,Moderate
35,39312,4,7,yes,hold,wealth_creation,some,8699,Moderate
33,58560,1,3,no,sell,wealth_creation,some,18855,Conservative
54,15000,2,10,yes,hold,retirement,experienced,3016,Aggressive
39,48169,0,2,no,sell,wealth_creation,some,15243,Conservative
53,42579,2,3,yes,hold,short_term,none,4303,Conservative
59,33917,4,2,no,buy_more,wealth_creation,experienced,7970,Conservative
33,79750,1,3,no,hold,child_education,experienced,16560,Moderate
29,42327,4,7,yes,sell,wealth_creation,some,6243,Moderate
59,45258,2,2,yes,sell,child_education,some,5148,Conservative
46,41368,2,2,no,sell,retirement,some,2936,Conservative
32,20690,0,15,no,buy_more,wealth_creation,some,2659,Aggressive
45,29454,2,2,no,hold,retirement,none,7486,Conservative
41,75545,1,7,no,hold,retirement,some,10082,Moderate
57,18968,4,5,yes,sell,retirement,experienced,5091,Conservative
31,34723,3,15,no,buy_more,tax_saving,none,10852,Moderate
60,40950,1,10,yes,buy_more,retirement,some,10577,Aggressive
58,107433,4,1,no,sell,retirement,some,31318,Conservative
28,69277,3,15,no,hold,wealth_creation,none,15376,Aggressive
27,38149,1,5,no,hold,short_term,some,12741,Moderate
42,88170,0,3,yes,hold,wealth_creation,some,24589,Aggressive
22,35128,0,10,yes,hold,retirement,none,5156,Aggressive
32,77195,0,10,no,sell,retirement,none,20611,Moderate
38,26595,0,3,yes,hold,short_term,none,6690,Moderate
59,79456,4,5,no,hold,short_term,none,21884,Conservative
60,40832,0,2,yes,hold,wealth_creation,some,5953,Conservative
27,30858,2,7,yes,hold,tax_saving,some,6260,Aggressive
56,44457,2,20,yes,sell,retirement,none,13964,Conservative
24,55537,2,5,no,hold,wealth_creation,some,19033,Aggressive
50,39236,0,20,no,buy_more,short_term,none,6198,Moderate
54,62898,1,2,yes,hold,short_term,experienced,12328,Conservative
56,37708,2,10,yes,buy_more,wealth_creation,none,5627,Aggressive
29,64806,1,20,yes,hold,short_term,some,17198,Aggressive
56,59814,0,10,no,buy_more,wealth_creation,none,3686,Moderate
25,47695,2,2,no,hold,short_term,experienced,16032,Conservative
41,40190,0,5,no,sell,short_term,some,8633,Conservative
39,52480,1,2,no,buy_more,short_term,experienced,6889,Moderate
33,62793,1,7,yes,hold,retirement,some,3842,Aggressive
21,123971,0,20,no,buy_more,wealth_creation,experienced,27053,Aggressive
51,74812,3,5,yes,hold,wealth_creation,some,16896,Moderate
34,76053,0,2,no,hold,wealth_creation,none,19665,Conservative
47,196777,4,3,yes,sell,wealth_creation,some,40854,Conservative
37,61832,3,7,no,hold,short_term,none,12657,Conservative
35,60967,1,7,no,hold,tax_saving,some,8610,Moderate
56,67292,0,3,yes,buy_more,tax_saving,none,7281,Moderate
24,31131,0,10,no,buy_more,tax_saving,some,3900,Aggressive
50,40144,3,2,no,hold,wealth_creation,some,6520,Conservative
50,39035,2,7,no,hold,retirement,some,11008,Conservative
36,65606,0,5,yes,sell,retirement,some,5607,Moderate
31,45325,1,2,no,hold,short_term,some,11018,Conservative
21,52166,0,7,no,buy_more,retirement,some,3202,Aggressive
58,79965,1,10,no,hold,wealth_creation,some,5031,Moderate
58,72288,1,5,yes,hold,wealth_creation,some,9548,Moderate
30,45580,0,10,no,buy_more,tax_saving,experienced,7163,Aggressive
22,36261,3,7,no,sell,child_education,none,3878,Conservative
25,81705,0,3,no,buy_more,child_education,none,25808,Moderate
23,69442,1,20,no,hold,retirement,some,9820,Aggressive
54,23793,2,20,yes,sell,tax_saving,some,4532,Moderate
56,42577,4,2,no,hold,retirement,experienced,14826,Conservative
27,52811,1,20,yes,sell,short_term,experienced,6663,Aggressive
50,69596,3,10,yes,hold,wealth_creation,experienced,16399,Aggressive
28,73831,1,2,yes,hold,retirement,some,20226,Moderate
35,55701,3,7,yes,sell,wealth_creation,some,7314,Moderate
44,63790,0,1,yes,hold,wealth_creation,none,4289,Moderate
49,50456,2,7,yes,hold,child_education,none,14501,Moderate
55,36198,0,20,yes,sell,retirement,some,4948,Moderate
22,43583,4,5,no,buy_more,child_education,some,6379,Moderate
28,49441,4,7,yes,sell,retirement,none,8623,Moderate
32,48261,1,3,yes,hold,retirement,experienced,2978,Aggressive
33,20983,1,7,yes,hold,short_term,experienced,6408,Moderate
60,40992,1,10,yes,sell,tax_saving,none,12666,Conservative
52,50276,0,3,yes,buy_more,child_education,none,15656,Moderate
33,43190,2,7,no,hold,tax_saving,experienced,4525,Moderate
59,43867,2,5,no,sell,tax_saving,none,15040,Conservative
40,61059,1,10,yes,hold,retirement,none,15169,Aggressive
41,30165,0,10,yes,hold,child_education,some,6874,Aggressive
38,23561,3,10,yes,sell,short_term,experienced,6283,Aggressive
26,41911,0,5,no,hold,tax_saving,some,11600,Aggressive
58,69137,2,7,no,hold,short_term,some,12087,Conservative
21,104757,0,7,yes,hold,retirement,experienced,23588,Aggressive
27,69700,0,10,yes,hold,child_education,some,15720,Aggressive
30,25318,0,7,no,hold,tax_saving,some,1325,Moderate
32,44153,1,15,yes,sell,child_education,none,2337,Moderate
26,55021,2,3,yes,sell,short_term,some,10520,Moderate
21,53099,1,1,no,hold,wealth_creation,some,11551,Moderate
48,62485,2,20,no,hold,short_term,none,16381,Conservative
59,32445,2,1,yes,sell,short_term,some,8948,Conservative
25,50474,0,15,no,sell,retirement,none,11393,Moderate
32,59227,0,7,yes,hold,short_term,none,8014,Moderate
41,71079,2,15,yes,hold,tax_saving,some,16759,Aggressive
58,34112,2,7,no,hold,child_education,none,4364,Conservative
48,41968,1,15,no,hold,child_education,none,12391,Moderate
51,15000,0,10,no,hold,retirement,some,2654,Aggressive
44,37061,3,7,no,sell,retirement,experienced,11803,Conservative
37,38716,0,5,no,hold,retirement,some,3421,Aggressive
28,30982,2,1,no,sell,short_term,none,8106,Conservative
55,52813,0,3,no,buy_more,child_education,some,9442,Moderate
53,47802,2,20,yes,sell,short_term,some,4216,Conservative
22,17736,1,3,no,hold,child_education,none,3861,Conservative
49,54012,2,10,yes,hold,tax_saving,none,6133,Moderate
24,32281,0,7,no,hold,tax_saving,some,4445,Aggressive
50,60995,1,3,yes,buy_more,child_education,some,11397,Aggressive
54,27533,0,20,yes,hold,retirement,none,4386,Aggressive
26,49687,2,1,no,sell,wealth_creation,none,8278,Conservative
38,43155,0,7,no,hold,wealth_creation,some,7297,Aggressive
25,56184,0,5,yes,hold,retirement,some,3095,Aggressive
43,51850,2,1,yes,buy_more,tax_saving,some,8306,Aggressive
58,43703,0,3,no,hold,wealth_creation,experienced,7344,Moderate
24,24555,0,10,no,hold,wealth_creation,none,5594,Aggressive
36,25216,3,2,yes,sell,retirement,some,4898,Conservative
59,37693,3,10,yes,buy_more,wealth_creation,none,3835,Moderate
33,48838,3,7,yes,hold,retirement,some,11055,Aggressive
26,37282,0,2,yes,sell,child_education,some,2256,Moderate
40,64948,1,3,yes,hold,tax_saving,some,9741,Aggressive
41,43232,2,2,no,hold,short_term,some,10204,Conservative
47,31753,0,10,yes,sell,wealth_creation,some,7531,Aggressive
33,43254,2,7,yes,hold,retirement,some,4503,Aggressive
59,54265,0,1,yes,hold,short_term,none,8235,Conservative
41,56737,3,7,yes,sell,retirement,none,10627,Conservative
32,114150,2,5,yes,buy_more,wealth_creation,experienced,19796,Aggressive
59,36278,1,7,yes,buy_more,tax_saving,some,9273,Aggressive
